Year ,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Classification: Exploitation/Exploration,Age since 2013,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1994,Hirschheim; R.; and Klein; H. 1994. ÒRealizing Emancipatory Principles in Information Systems Development_: The Case for ETHICS;Ó MIS Quarterly (March); pp. 83_109.,0,,Organization,Reformulates the ETHICS approach to be more emancipatory,Ensemble,Technology as development project,ISD,Organization,,49,52,70,0.74,Exploration,19,,,,,,1,1,2,2,3,4,4,3,,1,3,5,8,4,3,7,7,5,4,3
1999,Nambisan; S.; Agarwal; R.; and Tanniru; M. 1999. ÒORGANIZATIONAL MECHANISMS FOR ENHANCING USER INNOVATION IN INFORMATION TECHNOLOGY;Ó MIS Quarterly (23:3); pp. 365_395.,1,-,Organization,"""The effects of various classes of mechanisms on three key antecedents of user propensity to innovate in IT-technology cognizance, ability to explore a technology, and intention to explore a technology are tested using a field study.""",Proxy,Technology as Perception,Knowledge Creation,Organization,288,53,36,68,0.53,Exploration,14,,,,,,,,,,,,,5,5,5,4,2,7,6,6,6,9,3,8,2
1998,Jarvenpaa; S. L.; & Leidner; D. E. (1998). An Information Company in Mexico: Extending the Resource-Based View of the Firm to a Developing Country Context. Information Systems Research; 9(4); 342_361.,1,2,Organization,Extends dynamic capabilities framework to an IT context in a developing country,Nominal,Technology as absent,RBV and dynamic capabilities theory,Organization,218,53,35,67,0.52,Exploration,15,,,,,,,,,,,3,,2,4,5,6,5,7,2,3,7,4,10,6,3
1999,Pinsonneault; A.; Barki; H.; Gallupe; B.; and Hoppen; N. 1999. ÒElectronic brainstorming: The illusion of Productivity;Ó Information Systems Research (10:2); pp. 110_134.,1,2,Group,Compares brainstorming and electronic brainstorming,Tool,Technology as performance,Brainstorming literature,Group,167,46,18,65,0.28,Exploitation,14,,,,,,,,,,2,2,5,,6,4,6,5,8,2,3,4,4,2,8,4
2007,Kanawattanachai; P.; and Yoo; Y. 2007. ÒThe Impact of Knowledge Coordination on Virtual Team Performance over Time;Ó MIS Quarterly (31:4); pp. 783_808.,1,2,Group,"This study develops a model of how behavioral dimensions of transactive memory systems (TMS)--expertise location, task-knowledge coordination, and cognition-based trust-- of virtual teams impacts team performanceover time. ",Nominal,Technology as Absent,TMS literature,Group,157,65,23,65,0.35,Exploration,6,,,,,,,,,,,,,,,,,,1,4,2,12,12,14,11,9
1994,Organizational Characteristics and Information Systems Planning: An Empirical Study,1,2,Organization,Builds a model of organizational characteristics that influence IS Planning System Characteristics,Nominal , Technology as absent,IS planning + various organization studies fields,Organization,210,34,31,64,0.48,Exploration,19,,,,,,,1,5,2,6,5,2,2,5,2,4,3,5,7,2,5,5,1,,2
2008,Levina; N.; and Vaast; E. 2008. ÒINNOVATING OR DOING AS TOLD? STATUS DIFFERENCES AND OVERLAPPING BOUNDARIES IN OFFSHORE COLLABORATION;Ó MIS Quarterly (32:2); pp. 307_332.,1,2,Project,Adopts a practice perspective and case study approach to investigate how organizational and geographical differences create boundaries in offshore application development projects.,Ensemble,Technology as structure,Practice theory,Individual<->Macro,182,64,26,64,0.41,Exploration,5,,,,,,,,,,,,,,,,,,,1,3,4,11,15,27,3
2006,Banker; R.; Bardhan; I.; Chang; H.; and Lin; S. 2006. ÒPlant Information Systems; Manufacturing Capabilities; and Plant Performance;Ó MIS Quarterly (30:2); pp. 315_337.,1,2,Organization,"In this study, the authors develop a conceptual model based on the theory of dynamic capabilities to study how manufacturing plants realize improvements in plant performance by leveraging plant information systems to enable implementation of advanced manufacturing capabilities.  Research Model: Plant performance (product quality, product time to market, and plant efficiency) is influenced by Plant Information System Type (resource planning, operations management, and EDI applications), mediated by manufacturing capabilities (just-in-time manufacturing, customer and supplier participation programs)",Tool,"Technology as productivity, performance, enhancer",Dynamic Capabilities,"Capability, Firm",121,62,28,62,0.45,Exploitation,7,,,,,,,,,,,,,,,,,1,3,5,2,9,5,15,18,4
2006,Nicolaou; A. I.; and McKnight; D. H. 2006. ÒPerceived Information Quality in Data Exchanges: Effects on Risk; Trust; and Intention to Use;Ó Information Systems Research (17:4); pp. 332_351.,1,,Organization,"""An empirical test of the model demonstrated that PIQ (Perceived Information Quality) predicts trusting beliefs and perceived risk, which mediate the effects of PIQ on intention to use the exchange.""",Proxy,Technology as Perception,Interorganizational systems,Organization,,60,25,62,0.4,Exploitation,7,,,,,,,,,,,,,,,,,,,,3,9,12,10,14,12
1995,Todd; B. P. A.; Mckeen; J. D.; and Gallupe; R. B. 1995. ÒThe Evolution of IS Job Skills: A Content Analysis of IS Job Advertisements From 1970 to 1990;Ó MIS Quarterly (March); pp. 1_28.,0,,Market,"""Changes m the knowledge and skill requirements of information systems (IS) positions were ex- amined by analyzing the content of advertise- ments for IS professionals placed in four ma1or newspapers over the 20-year period 1970-1990.""",Nominal,Technology as absent,IS Job skills,Market,,41,23,61,0.38,Exploitation,18,,,,,,,2,1,2,,4,5,1,3,2,7,1,5,3,6,4,2,3,7,3
1998,Banerjee; D.; Cronan; T.; and Jones; T. 1998. ÒModeling IT Ethics: A Study in Situational Ethics;Ó MIS Quarterly (March); pp. 31_61.,1,-,Individual,Builds a model for ethical behavior of IS personnel,Nominal,Technology as absent,Ethical behavior+TPB/TRA,Individual,234,46,22,60,0.37,Exploitation,15,,,,,,,,,2,,1,1,,5,5,,5,6,10,9,2,3,5,5,1
1998,Kumar; K.; Dissel; H. Van; and Bielli; P. 1998. ÒThe Merchant of Prato-Revisited: Toward a Third Rationality of Information Systems;Ó MIS Quarterly (June); pp. 199_227.,0,-,Organization,"Compares the technical-economic, socio-political, and interactionist-collaboration perspectives on IS",Tool,"Technology as productivity, performance, enhancer",Broad IS perspectives,Organization,323,41,37,59,0.63,Exploitation,15,,,,,,,,,,,1,3,4,5,5,7,3,6,7,1,3,6,3,4,1
1998,Carlson; P.; and Davis; G. 1998. ÒAn investigation of media selection among directors and managers: FromÔ selfÕ toÔ otherÕ orientation;Ó MIS Quarterly (September); pp. 335_363.,1,-,Individual,"Shows how the richness of media chosen is dependent on ""self"" or ""other""-orientation",Proxy,Technology as perception,media richness/social interaction theories,Individual,224,46,23,58,0.4,Exploitation,15,,,,,,,,,,,4,3,2,,3,5,4,5,4,5,7,5,3,5,3
2002,Davidson; E. 2002. ÒTechnology frames and framing: A socio-cognitive investigation of requirements determination;Ó MIS Quarterly (26:4); pp. 329_358.,1,1,Individual,"Longitudinal case study investigating how technology frames of reference (i.e. understanding of nature of the technology, technology strategy, and technology-in-use) influence ISD project participants' understanding of requirements.",Ensemble,Technology as Development Project,Technology frames of reference,Individual<->Macro,159,56,40,57,0.7,Exploration,11,,,,,,,,,,,,,,,1,3,2,7,5,5,6,6,7,12,3
1999,Segars; A.; and Grover; V. 1999. ÒProfiles of strategic information systems planning;Ó Information Systems Research (10:3); pp. 199_232.,1,3,Organization,Identifies five distinct profiles of IS Strategic Planning,Nominal,Technology as absent,Stategic Management,Organization,185,47,34,56,0.61,Exploration,14,,,,,,,,,,,,,,5,,3,9,3,6,3,5,6,5,3,4
1998,Watson; R.; Pitt; L.; and Kavan; C. 1998. ÒMeasuring Information Systems Service Quality: Lessons From Two Longitudinal Case Studies;Ó MIS Quarterly (March).,1,-,Organization,"""The paper concludes by recognizing that delivering IS service quality requires action at three levels (strategic, tactical, and operational)""",Proxy,Technology as Perception,Service Quality,Organization,269,41,30,52,0.58,Exploration,15,,,,,,,,,,,2,1,6,0,2,5,4,4,3,6,2,6,3,6,2
2001,Fichman; R. 2001. ÒTHE ROLE OF AGGREGATION IN THE MEASUREMENT OF IT-RELATED ORGANIZATIONAL INNOVATION;Ó MIS Quarterly (25:4); pp. 427_455.,1,,Organization,Develops a model for when aggregation of IT innovation constructs is admissible,Proxy,Technology as performance,Organizational Innovation,Organization,,48,25,51,0.49,Exploration,12,,,,,,,,,,,,,1,,2,2,5,9,3,3,3,7,9,4,3
2000,De-escalating Information Technology Projects: Lessons from the Denver International Airport ,0,3,Project,Case study approach used to build a theory of de-escalation in IT projects,Ensemble,Technology as Development Project,NA,NA,151,40,26,50,0.52,-,13,,,,,,,,,,,,,1,6,3,3,5,1,7,4,4,5,4,5,2
2001,Bodart; F.; and Patel; A. 2001. ÒShould optional properties be used in conceptual modelling? A theory and three empirical tests;Ó Information Systems Research (12:December); pp. 384_405.,1,,Individual,"In this paper, we first present a theory th<it led us lo predict that optional attributes and relationships 5hould be used in conceptucll schema diagrams only when user's of the diagrams require surface-level understanding of the domain being represented by the diagrams.",Nominal,Technology as context,Conceptual modelling,Individual,,47,29,50,0.58,Exploitation,12,,,,,,,,,,,,,1,,2,7,7,4,2,6,5,8,5,3,
1996,Markus; M. L.; & Benjamin; R. I. (1996). Change Agentry - the Next IS Frontier.ÊMIS Quarterly;Ê20(4); 385-407.,0,,Individual,Conceptualizes IS specialist as change agents,Nominal,Technology as absent,Organizational Development,Individual,,23,32,48,0.67,Exploration,17,,,,,,,,,,5,6,3,4,5,2,2,,1,5,1,4,4,1,3,2
1996,Newman; M.; and Sabherwal; R. 1996. ÒDeterminants of commitment to information systems development: a longitudinal investigation;Ó MIS Quarterly (March).,1,,Organization,Tries to explain commitment to IS development through various OB-based determinants,Nominal,Technology as absent,Organizational Behavior,Group,,22,31,48,0.65,Exploitation,17,,,,,,,1,1,,1,5,4,5,9,,1,3,2,2,3,2,2,2,1,4
1999,Gregor; S.; and Benbasat; I. 1999. ÒEXPLANATIONS FROM INTELLIGENT SYSTEMS: THEORETICAL FOUNDATIONS AND IMPLICATIONS FOR PRACTICE;Ó MIS Quarterly (23:4); pp. 497_530.,1,-,Group,Builds a number of propositions with regards to how intelligent systems create explanations of their behavior,Proxy,Technology as Perception,Cognitive Science,Group,233,41,25,47,0.53,Exploration,14,,,,,,,,,,,,2,2,,,3,9,5,4,4,2,6,2,2,4
1996,Effects of Communication Mode and Prediscussion Information Distribution Characteristics on Information Exchange in Groups,1,1,Group,Builds a model of how computers and pre-discussion information distribution characteristics mediate discussion in groups,Tool , as enhancer/productivity,CMCS,Group,155,24,13,47,0.28,Exploitation,17,,,,,,,,1,1,2,3,6,4,3,3,1,6,2,2,3,4,2,3,1,
2009,Angst; C. M.; & Agarwal; R. (2009). ADOPTION OF ELECTRONIC HEALTH RECORDS IN THE PRESENCE OF PRIVACY CONCERNS: THE ELABORATION LIKELIHOOD MODEL AND INDIVIDUAL PERSUASION. MIS Quarterly; 33(2); 339_370.,1,2,Individual,"Draws on elaboration likelihood model to examine individuals' adoption of electronic health records. Ivs: Argument Frame, Issue Involvement, Ability, Post-Attitude (mediator), and  concern for information privacy (moderator). DV: opt-in intention",Proxy,Technology as Perception,elaboration likelihood model (ELM) & concern for information privacy (CFIP),Individual,93,47,20,47,0.43,Exploitation,4,,,,,,,,,,,,,,,,,,,,2,2,9,14,15,5
2008,Leonardi; P.; and Bailey; D. 2008. ÒTRANSFORMATIONAL TECHNOLOGIES AND THE CREATION OF NEW WORK PRACTICES: MAKING IMPLICIT KNOWLEDGE EXPLICIT IN TASK-BASED OFFSHORING;Ó MIS Quarterly (32:2); pp. 411_436.,1,,Organization,"The authors propose ""five new work practices to transfer occupational knowledge to the offshore site. The five practices were defining requirements, moni- toring progress, fixing returns, routing tasks strategically, and filtering quality.""",Ensemble,Technology as embedded system,Theory on transformational technologies,Organization,,46,21,47,0.45,Exploration,5,,,,,,,,,,,,,,,,,,,4,7,4,9,5,9,8
2009,Goo; J.; Kishore; R.; Rao; H.; and Nam; K. 2009. ÒTHE ROLE OF SERVICE LEVEL AGREEMENTS IN RELATIONAL MANAGEMENT OF INFORMATION TECHNOLOGY OUTSOURCING: AN EMPIRICAL STUDY;Ó MIS Quarterly (33:1); pp. 119_145.,1,1,Interorg,"Examines the impact of formal contract characteristics (SLA elements)(foundation, change, and governance), mediated by relational governance (relational norms, harmonious conflict resolution, and mutual dependence), on trust and commitment. ",Nominal,Technology as Absent,Formal contracts and relational governance,Interorg,115,45,18,45,0.4,Exploitation,4,,,,,,,,,,,,,,,,,,,,1,3,4,12,21,4
2005,Chidambaram; L.; and Tung; L. L. 2005. ÒIs Out of Sight; Out of Mind? An Empirical Study of Social Loafing in Technology-Supported Groups;Ó Information Systems Research (16:2); pp. 149_168.,1,,Group,"""In this study, which employed a controlled experiment, we investigated these dimensions of social loafing in the context of group decision making, using collocated and distributed teams of varying sizes. Our resultsÑin line with SITÑindicate that small groups, signifying a small dilution effect, had increased individual contributions and better group outcomes compared to their larger counterparts.""",Nominal,Technology as context,Social loafing theory,Group,,44,14,45,0.31,Exploitation,8,,,,,,,,,,,,,,,,,1,1,1,5,8,7,7,8,6
1996,Massetti; B. (1996). An Empirical Examination of the Value of Creativity Support Systems on Idea Generation.ÊMIS Quarterly;Ê20(1); 83-97.,1,,Individual,Looks at how creativity support systems influence idea generation,Tool,Technology as performance,Creativity theories,Individual,,24,14,43,0.33,Exploitation,17,,,,,,,,,3,1,6,5,1,2,1,2,4,1,2,2,2,4,3,1,3
1994,Galegher; J.; and Kraut; R. 1994. ÒComputer-mediated communication for intellectual teamwork: An experiment in group writing;Ó Information Systems Sesearch (5:2); p. 110+138.,1,,Group,uses contingency theory to test the ability of individuals to conduct complex group work in computer-mediated contexts,Nominal,Technology as context,Contingecy theory,Group,,25,13,43,0.3,Exploitation,19,,,,,,,,4,1,3,2,3,2,2,1,1,2,2,3,3,1,5,5,2,1
2008,Robert; L. P.; Dennis; A. R.; and Ahuja; M. K. 2008. ÒSocial Capital and Knowledge Integration in Digitally Enabled Teams;Ó Information Systems Research (19:3); pp. 314_334.,1,2,Group,"How does social capital, communication environment, knowledge integration lead to team decision quality in virtual teams?",Tool,"Technology as productivity, performance, enhancer",Social capital,Group,77,43,25,43,0.58,Exploration,5,,,,,,,,,,,,,,,,,,,,1,6,7,13,12,4
1999,Barrett; M.; and Walsham; G. 1999. ÒElectronic Trading and Work Transformation in the London Insurance Market;Ó Information Systems Research (10:1); pp. 1_22.,1,2,Organization,Builds a model of how the introduction of electronic trading affects self-identity,Ensemble,Technology as structure,Giddens transformation theory,Organization,170,38,29,42,0.69,Exploitation,14,,,,,,,,,,,,2,,,,4,3,3,5,4,3,2,3,6,5
2009,Duan; W.; Gu; B.; and Whinston; A. 2009. ÒINFORMATIONAL CASCADES AND SOFTWARE ADOPTION ON THE INTERNET: AN EMPIRICAL INVESTIGATION;Ó MIS Quarterly (33:1); pp. 23_48.,1,,Individual,Tests a theory of software adoption on the internet based on information cascades,Nominal,Technology as absent,Information cascades,Individual,,42,15,42,0.36,Exploitation,4,,,,,,,,,,,,,,,,,,,,,3,7,9,16,7
2003,Png; Y. C. I. 2003. ÒInformation Goods Pricing and Copyright Enforcement: Welfare Analysis;Ó Information Systems Research (14:1); pp. 107_123.,1,2,Market,"Examines government policy instruments (fines, subsidies, and taxes) on software piracy and how these impact unethical user benefit and wellfare.",Nominal,Technology as context,Classical economics,Market,119,40,8,41,0.2,Exploration,10,,,,,,,,,,,,,,,1,1,2,4,8,4,6,2,7,6,
2004,Sundararajan; A. 2004. ÒManaging Digital Piracy: Pricing and Protection;Ó Information Systems Research (15:3); pp. 287_308.,1,2,Market,"Explains the effects of various ways of protecting against piracy. IV's: pricing strategy, technological deterrence, DV: economic value",Proxy,Technology as capital,Economic theory,Market,116,41,14,41,0.34,Exploitation,9,,,,,,,,,,,,,,,,1,3,5,10,4,9,2,4,3,
1998,Pinsonneault; A.; and Rivard; S. 1998. ÒInformation Technology and the Nature of Managerial Work: From the Productivity Paradox to the Icarus Paradox;Ó MIS Quarterly (September); pp. 287_312.,1,,Organization,Qualitative testing of propositions related to the relationship between IT and managerial work in various strategic contexts,Tool,Technology as productivity,IT & Managerial Work,Organization,,29,20,41,0.49,Exploitation,15,,,,,,,,,,,5,3,1,,3,5,2,3,3,1,4,4,3,1,3
1997,Examining the emergence of hybrid IS governance solutions: Evidence from a single case site,1,3,Organization,"Attempts to explain why hybrid IS governance solutions are hetergenously deployed through the various business units of an enterprise. Relevant variables for business unit adoption are: organic decision-making, high business unit autonomy, a differentiation competitive strategy, and an unstable industry environment",Proxy , technology as perception,IS Governance,Organization,202,34,28,41,0.68,Exploration,16,,,,,,,,,1,1,1,2,,1,1,,2,1,5,3,3,3,8,4,5
1994,Adaptation of a Planning System Success Model to Information Systems Planning,1,2,Organization,Establishes a model to measure IS Planning system sucesss,Proxy , technology as perception,Planning Systems Success Theory,Organization,88,18,25,40,0.63,Exploitation,19,,,,,,,1,2,3,6,2,2,2,4,,2,8,1,2,1,1,1,1,,1
2006,Mitchell; V. 2006. ÒKnowledge Integration and Information Technology Project Performance;Ó MIS Quarterly (30:4); pp. 919_939.,1,2,Project,This longitudinal study seeks to understand the relationship between management's integrative capability and on-time project completion,Nominal,Technology as absent,Dynamic Capabilities,"Capability, Firm",109,40,21,40,0.53,Exploitation,7,,,,,,,,,,,,,,,,,,3,2,4,5,6,8,8,4
2005,Chellappa; R. K.; and Shivendu; S. 2005. ÒManaging Piracy: Pricing and Sampling Strategies for Digital Experience Goods in Vertically Segmented Markets;Ó Information Systems Research (16:4); pp. 400_417.,1,2,Market,"Develops a two-stage theory of digital piracy, where products that tend to underperform expectation lose more from piracy than products that overperform expectations",Nominal,Technology as absent,Economic theory,Market,92,38,13,38,0.34,Exploitation,8,,,,,,,,,,,,,,,,,1,3,5,4,5,4,7,7,2
2007,Joseph; D.; Ng; K.; Koh; C.; and Ang; S. 2007. ÒTurnover of Information Technology Professionals: A Narrative Review; Meta-Analytic Structural Equation Modeling; and Model Development;Ó MIS Quarterly (31:3); pp. 547_577.,1,1,Individual,"Employs a meta-analytic technique to extend March and Simon's (1958) distal-proximal turnover framework in the context of turnover of IT professionals.  Ivs are job related factors (boundary spanning activities, job performance, role ambiguity, role conflict) mediated by job satisfaction; perceived organizational factors (pay, promotability), demographics (age, gender) and human capital (education, organization tenure) mediated by perceived job alternatives. DV = turnover intention",Nominal,Technology as Absent,distal-proximal turnover framework,Individual,88,36,20,36,0.56,Exploitation,6,,,,,,,,,,,,,,,,,,,,1,7,9,8,9,2
2005,Gal-Or; E.; and Ghose; A. 2005. ÒThe Economic Incentives for Sharing Security Information;Ó Information Systems Research (16:2); pp. 186_208.,1,2,Market,"Using a game theoretical framework, the authors outline the factors that increase the value of sharing security information. Factors that increase this value are higher product substitutability, and increased firm size.",Nominal,Technology as absent,Game theory,Market,128,35,14,35,0.4,Exploration,8,,,,,,,,,,,,,,,,,,2,6,2,3,5,4,8,5
2003,Fan; M.; Stallaert; J.; and Whinston; A. B. 2003. ÒDecentralized Mechanism Design for Supply Chain Organizations Using an Auction Market;Ó Information Systems Research (14:1); pp. 1_22.,1,3,Market,"Examines incentive structures in decentralized supply chains and designs a market-based coordination system based on incentives and an auction mechanism, leading to optimal market prices",Computational,Model,Brown et al (1987) multicommodity network flow problem,Market,99,34,8,35,0.23,Exploration,10,,,,,,,,,,,,,,1,,2,3,5,5,5,1,3,4,5,1
1999,Brown; C. V. 1999. ÒHorizontal Mechanisms under Differing IS Organization Contexts;Ó MIS Quarterly (23:3); pp. 421.,1,-,Organization,Identifies which IS mechanisms for coordination are valued across different sites,Nominal,Technology as absent,Organizational Forms,Organization,127,28,24,34,0.71,Exploitation,14,,,,,,,,,,,,,,4,2,1,4,4,4,,3,4,4,4,
2005,Suh; K.; and Lee; Y. 2005. ÒThe Effects of Virtual Reality on Consumer Learning: An Empirical Investigation;Ó MIS Quarterly (29:4); pp. 673_697.,1,2,Individual,"This study draws on the theory of cognitive fit to investigate how fit between virtual reality interfaces (media richness, interactivity, and telepresence) and product type (high/low experiential products) enhances customer learning (DV) about products. A 2 x 2 factorial design was used to test hypotheses. ",Tool,"Technology as productivity, performance, enhancer",Cognitive Fit Theory,Individual,102,33,13,33,0.39,Exploration,8,,,,,,,,,,,,,,,,,2,3,5,2,3,9,5,2,2
1997,An empirical study of computer system learning: Comparison of co-discovery and self-discovery methods,1,2,Individual,"""In this study we investigate the relationship between the inference potential of a mental model and task performance"" with regards to self- and co-discovery of computer systems. The variables are learning method, inference potential, task performance, and computer experience.",Tool ,Technology as performance,Mental models,Group,94,21,17,33,0.52,Exploitation,16,,,,,,,,,,,,4,3,4,1,2,2,2,4,3,4,,1,3,
2000,Banker; R. D.; and Slaughter; S. a. 2000. ÒThe Moderating Effects of Structure on Volatility and Complexity in Software Enhancement;Ó Information Systems Research (11:3); pp. 219_240.,1,1,Technical,"""In this study, we develop a model of the relationship between software structure and software enhancement costs and errors. We introduce the notion of software structure as a moderator of the relationship between software volatility,total data complexity, and software enhancement outcomes."" (from abstract)",Computational,Model,Software structure + enhancement,Technical,91,32,12,33,0.36,Exploitation,13,,,,,,,,,,,,,,1,,1,4,3,4,6,3,3,7,1,
2006,So; C.; Markus; M. L.; and Goh; K. H. 2006. ÒELECTRONIC MARKETPLACES AND PRICE TRANSPARENCY: STRATEGY; INFORMATION TECHNOLOGY; AND 5UCCESS;Ó MIS Quarterly (30:3); pp. 705_723.,1,,Organization,"""To understand how EMPs could succeed, regardless of price transparency, we examined the relationships among EMP strategy, price transparency, and performance by analyzing all 19 EMPs that compete by selling a broad range of stan-dard electronics components. We found that all EMPs pur-suing a low cost strategy had high price transparency and performed poorly. All EMPs that performed well pursued strategies of differentiation, but, interestingly, not all suc-cessful EMPs avoided price transparency: Some EMPs suc-ceeded despite enabling high price transparency.""",Nominal,Technology as context,Strategic Management Theory,Organization,,32,18,32,0.56,Exploration,7,,,,,,,,,,,,,,,,,,1,2,3,6,5,5,7,3
2000,Information Technology Development Creativity: A Case Study of Attempted Radical Change ,1,2,Group,Case study approach used to examine the use of IT as an enabler of organizational re-engineering  ,Nominal,Technology as absent,theory of creativity,Group,119,24,15,31,0.48,Exploration,13,,,,,,,,,,,,,2,4,4,4,1,5,2,2,3,2,3,1,1
1995,Ye; L.; & Johnson; P. E. (1995). The Impact of Explanation Facilities on User Acceptance of Expert Systems Advice.ÊMIS Quarterly;Ê19(2); 157-172.,1,,Individual,Examines the effects of Expert system (ES) explanations on changes in user beliefs towards ES-generated conclusions,Nominal,Technology as absent,Toulmin's model of argumentation,Individual,,21,17,31,0.55,Exploitation,18,,,,,,,,1,3,2,2,,2,,,,4,3,,3,2,3,2,3,1
2008,Rustagi; S.; King; W. R.; and Kirsch; L. J. 2008. ÒPredictors of Formal Control Usage in IT Outsourcing Partnerships;Ó Information Systems Research (19:2); pp. 126_143.,1,1,Organization,"It is hypothesized that task characteristics, client knowledge, and trust determines the amount of formal control in IT outsourcing partnerships",Nominal,Technology as absent,Theory on control in IT settings,Organization,52,31,18,31,0.58,Exploitation,5,,,,,,,,,,,,,,,,,,,1,1,4,1,8,10,6
2009,Maruping; L. M.; Venkatesh; V.; and Agarwal; R. 2009. ÒA Control Theory Perspective on Agile Methodology Use and Changing User Requirements;Ó Information Systems Research (20:3); pp. 377_399.,1,,Organization,"""Arguing that the most effective control modes are those that provide teams with autonomy in determining the methods for achieving project objectives, we propose hypotheses related to the interaction between control modes, agile methodology use, and requirements change. We test the model in a field study of 862 software developers in 110 teams. The model explains substantial variance in four objective measures of project qualityÑbug severity, component complexity, coordinative complexity, and dynamic complexity.""",Proxy,Technology as performance,Control/Agile theory,Organization,,31,17,31,0.55,Exploitation,4,,,,,,,,,,,,,,,,,,,,1,3,3,7,15,2
2010,Venkatesh; V.; and Goyal; S. 2010. ÒEXPECTATION DISCONFIRMATION AND TECHNOLOGY ADOPTION: POLYNOMIAL MODELING AND RESPONSE SURFACE ANALYSIS;Ó MIS Quarterly (34:2); pp. 281_303.,1,1,Individual,Combines expectation-disconfirmation  theory with novel methodologies to predict technology adoption,Proxy,Technology as Perception,Expectation Disconfirmation (or Confirmation) Theory,Individual,41,29,14,29,0.48,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,3,9,13,4
2009,Cyr; D.; Head; M.; Larios; H.; and Pan; B. 2009. ÒEXPLORING HUMAN IMAGES IN WEBSITE DESIGN: A MULTI-METHOD APPROACH;Ó MIS Quarterly (33:3); pp. 539_566.,1,2,Individual,Applies the logic of visual rhetoric theory to examine how trust in a website (DV) is influenced by image appeal and perceived social presence (Ivs).,Proxy,Technology as Perception,Visual rhetoric,Individual,53,28,9,28,0.32,Exploration,4,,,,,,,,,,,,,,,,,,,,,4,4,7,9,4
1998,Marakas; G.; and Elam; J. 1998. ÒSemantic structuring in analyst acquisition and representation of facts in requirements analysis;Ó Information Systems Research.,1,2,Individual,Examines a process of semantic structuring in analyst-user interviews to determine information requirements in software,Nominal,Technology as absent,Information Requirements + Psychology of questions,Individual,86,15,15,27,0.56,Exploration,15,,,,,,,,,,,,2,,2,4,2,2,2,3,,,3,,3,
2007,Mishra; a. N.; Konana; P.; & Barua; a. (2007). Antecedents and Consequences of Internet Use in Procurement: An Empirical Investigation of U.S. Manufacturing Firms. Information Systems Research; 18(1); 103_120. doi:10.1287/isre.1070.0115,1,2,Organization,"Builds a model of internet usage in procurement, as a way of predicting procurement process performance.  The antecedents are digitzation, diversity of knowledge, perception of technological uncertainty, and perceptions of volume uncertainty",Proxy,Technology as diffusion,Resource-based view,Organization,48,27,9,27,0.33,Exploration,6,,,,,,,,,,,,,,,,,,,,1,3,8,6,6,3
2005,Chen; A. N. K.; & Edgington; T. M. (2005). Assessing Value in Organizational Knowledge Creation: Considerations for Knowledge Workers. MIS Quarterly; 29(2); 279_309.,1,2,Organization,The authors develop a model based on economic and organization theory for assessing organizational value with regard to knowledge creation investments.,Tool,"Technology as productivity, performance, enhancer","Multiple theories: RBV, learning theory, cognitive decay, organizational memory, and absorptive capacity.",Organization,108,27,8,27,0.3,Exploitation,8,,,,,,,,,,,,,,,,,,4,1,2,5,6,5,3,1
2007,Avgerou; C.; and McGrath; K. 2007. ÒPower; Rationality; and the Art of Living through Socio-Technical Change;Ó MIS Quarterly (31:2); pp. 295_315.,1,3,Organization,Takes a case study approach to argue that IS practice and organizational power dynamics are intertwined and mutually constitutive.,Ensemble,Technology as embedded system,Foucalt's Theory of Power/Knowledge and Ethics,Individual<->Macro,86,25,16,25,0.64,Exploration,6,,,,,,,,,,,,,,,,,,1,1,2,4,6,7,2,2
2006,Benaroch; M.; Lichtenstein; Y.; and Robinson; K. 2006. ÒReal Options in Information Technology Risk Management: An Empirical Validation of Risk- Option Relationships;Ó MIS Quarterly (30:4); pp. 827_864.,1,1,Organization,"This paper tests empirically the risk-option mappings posited by the option-based risk management (OBRiM) framework and, more generally, the theorized link between real options and IT risk management.  IV: risk factors; DV: embedded options",Nominal,Technology as Absent,Real options--Option-based risk management ,Organization,81,25,12,25,0.48,Exploitation,7,,,,,,,,,,,,,,,,,,1,5,4,3,3,3,6,
2006,Shaft; T.; and Vessey; I. 2006. ÒThe Role of Cognitive Fit in the Relationship between Software Comprehension and Modification;Ó MIS Quarterly (30:1); pp. 29_55.,1,1,Individual,This is a simple translation of cognitive fit theory to the software maintenance context. ,Tool,"Technology as productivity, performance, enhancer",Cognitive Fit Theory,Individual,76,25,15,25,0.6,Exploitation,7,,,,,,,,,,,,,,,,,,1,2,5,2,4,7,3,1
2000,Basu; A.; & Blanning; R. (2000). A formal approach to workflow analysis. Information Systems Research; 11(1); 17_36.,0,2,Organization,Shows how metagraphs can be used to represent workflows,Computational, model,Workflow modelling and metagraphs,Organization,114,17,9,24,0.38,-,13,,,,,,,,,,,,1,4,1,2,,3,1,2,4,1,3,,3,
