Year ,Type of Study,Journal,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Theory Borrowed (Yes/No),Primary (outside of IS) or Secondary (inside of IS) borrowing?,1_Classification: Exploitation/Exploration,2_Classification: Exploitation/Exploration,3_Classification: Exploitation/Exploration,4_Classification: Exploitation/Exploration,"Classification: instantiation, modifying, or extending","Magnitude: none, small, medium, large",Constructs/relationship/logic changed?,"If Not Borrowed, is Source Theory Inductive or Axiomatic?",Cannot be Classified (Notes),Comments,Why cited?,Age since 2013,Cites in first 5 years,Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,h1_intial_author_1,h1_2013_author_1,h1_intial_author_2,h1_2013_author_2,h1_intial_author_3,h1_2013_author_3,h1_intial_author_4,h1_2013_author_4,h1_intial_author_5,h1_2013_author_5,h1_initial_sum,h1_2013_sum,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
2002,Econometrics,ISR,"Chen, P.-Y. (Sharon), and Hitt, L. M. 2002. –Measuring Switching Costs and the Determinants of Customer Retention in Internet-Enabled Businesses: A Study of the Online Brokerage Industry,” Information Systems Research (13:3), pp. 255_274.",1,,Indiidual,"""We then examine how systems usage, service design, and other firm- and individual-level factors affect switching and retention.""",Nominal,Technology as absent,Brand loyalty,Individual,,140,36,147,0.24,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Tests brand loyalty theory in an IS context,,11,,3,2010,,,,,,,,,,,,,1,1,5,10,12,9,11,16,9,20,24,11,18,1,8,13,25,,,,,,,14,33,2002,Information Systems Research,13,3,,255,274,,286,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036740307&partnerID=40&md5=65dc77ac200a0987be477de8b1828e4c,Article,Scopus,2-s2.0-0036740307
1998,Survey,MISQ,"Ang, S., and Straub, D. 1998. –Production and Transaction Economies and IS Outsourcing: A Study of the U.S. Banking Industry,” MIS Quarterly (December), pp. 535_552.",1,,Organization,"Studies the impact of production cost, transaction cost, and financial slack on outsourcing decisions.",Proxy,Technology as Perception,Production/transaction Economic theory,Organization,,121,64,141,0.45,Yes,Yes,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Borrows IV's and use them to predict outsourcing,,15,,4,2009,,,,,,,,,,1,,1,2,8,8,6,11,11,11,21,17,11,9,15,9,6,23,14,36,,,,,,,20,59,1998,MIS Quarterly: Management Information Systems,22,4,,535,548,,321,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000403739&partnerID=40&md5=319a2c4a02db3d40eeca9b9bb4053d64,Article,Scopus,2-s2.0-0000403739
1995,Theoretical,ISR,Actualizing Organizational Memory with Information Systems,1,1,Organization,Develops a model for an effectiveness-based Organizational Memory Information System,Ensemble, technology as structure,Collective memory theory + organizational memory IS,Group,710,77,51,137,0.37,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,No,,,Improves upon previous OM IS,,18,,8,2005,,,,,,,1,5,4,6,10,11,10,7,6,12,9,6,9,2,7,8,12,7,5,5,9,1,4,,,,,,,6,13,1995,Information Systems Research,6,2,,85,117,,379,,http://www.scopus.com/inward/record.url?eid=2-s2.0-73549084288&partnerID=40&md5=166c77fe44973e8db8adaf0e15004b8b,Article,Scopus,2-s2.0-73549084288
1996,Experiment,MISQ,"Chidambaram, L. (1996). Relational Development in Computer-Supported Groups.¾MIS Quarterly,¾20(2), 143-165.",1,,Group,Shows how computer-supported groups exchange social information and develop strong relational links,Tool,Technology as productivity,Group development,Group,,81,48,135,0.36,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,,,,Simply tests group development theory in an IT context and compare it with a non-IT context,,17,,7,2006,,,,,,,,3,2,7,8,8,10,9,7,9,8,10,12,8,10,6,8,7,3,5,11,,,,,,,,,5,11,1996,MIS Quarterly: Management Information Systems,20,2,,143,163,,262,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001306814&partnerID=40&md5=a713f9d10d931660ae0aaaf499ab8999,Article,Scopus,2-s2.0-0001306814
1996,Survey,MISQ,"Nelson, K., and Cooprider, J. 1996. –The Contribution of Shared Knowledge to IS Group Performance,” MIS Quarterly (December), pp. 409_432.",1,,Group,"""The results of this study show that shared knowledge medià ates the relationship between IS performance and trust and influence and that increasing levà els of shared knowledge between IS and line groups leads to increased IS performance.""",Proxy,Technology as Perception,Shared/organizational knowledge,Group,,106,53,121,0.44,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,Tests theories on shared knowledge with IS performance as the DV,,17,,2,2011,,,,,,,,,,1,5,2,4,1,2,4,5,3,7,13,10,21,19,13,11,20,29,3,6,,,,,,,23,35,1996,MIS Quarterly: Management Information Systems,20,4,,409,429,,321,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000361115&partnerID=40&md5=142c35f02bc96fbac3ca3b0dda5de0b4,Article,Scopus,2-s2.0-0000361115
1997,Survey,MISQ,"Chau, P. Y., & Tam, K. Y. (1997). Factors Affecting the Adoption of Open Systems: An Exploratory Study.¾MIS Quarterly,¾21(1), 1-24.",1,,Organization,Develops and tests a model of seven factors which affect the adoption of open systems,Proxy,Technology as perception,Open Innovation literature,Organization,,102,49,121,0.4,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,,,,Simply borrows antecedents and tests them with an IT DV,,16,,4,2009,,,,,,,,,,1,2,4,3,5,3,2,14,10,8,11,14,7,14,14,8,9,26,9,29,,,,,,,18,55,1997,MIS Quarterly: Management Information Systems,21,1,,1,20,,302,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0002382036&partnerID=40&md5=8ac2dfe832a2a24fcbb82668542fee28,Article,Scopus,2-s2.0-0002382036
1997,Survey,ISR,Advancing the Theory of Adaptive Structuration : The Development of a Scale to Measure Faithfulness of Appropriation,1,1,Organization,Develops a faithfulness of appropriation scale for Adaptive Structuration Theory,Proxy,Technology as perception,Adaptive Structuration Theory,Organization,247,109,51,119,0.43,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,No,,,Incremental contribution to AST through developing an validating a scale,,16,,3,2010,,,,,,,,,,1,2,1,1,3,2,7,9,6,9,15,6,6,19,16,16,5,21,4,6,1,6,,,,,10,33,1997,Information Systems Research,8,4,,342,367,,208,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031314601&partnerID=40&md5=18cb9c2e82f880bf81aa5721cf0a6e69,Article,Scopus,2-s2.0-0031314601
1997,Survey,ISR,Executive decisions about adoption of information technology in small business: Theory and empirical tests,1,1,Individual,"Tests theory of planned behavior, discovers strong support as well as increasing importance of social expectations in larger businesses and lower importance of intra-firm consequences and control over potential adoption barriers",Proxy, technology as perception,Theory of Planned Behavior,Individual,431,86,35,113,0.31,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,No,,,Tests Theory of Planned Behavior,,16,,6,2007,,,,,,,,,,1,4,3,5,9,5,11,12,8,9,10,4,14,8,5,5,12,39,4,11,1,12,,,,,17,62,1997,Information Systems Research,8,2,,171,195,,240,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031500720&partnerID=40&md5=4cf12b0bfdae98e75dd9bc78fecff7dc,Article,Scopus,2-s2.0-0031500720
1996,Experiment,MISQ,"Dennis, A. R. (1996). Information Exchange and Use in Group Decision Making: You Can Lead a Group to Information, but You Can't Make It Think.¾MIS Quarterly,¾20(4), 433-457.",1,,Group,Examines how group decision maing systems influence information exchange and optimal decision-making,Nominal,Technology as absent,Group decision making,Group,,78,37,112,0.33,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,None,,,,Simply tests group decision theory in an IT context and compare it with a non-IT context,,17,,6,2007,,,,,,,,1,1,5,3,8,1,10,5,8,6,8,7,9,10,6,12,8,4,18,36,,,,,,,,,18,36,1996,MIS Quarterly: Management Information Systems,20,4,,433,454,,200,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000931018&partnerID=40&md5=aa63be0781788c8bf454283f35cc8b9e,Article,Scopus,2-s2.0-0000931018
1996,Survey,ISR,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",1,1,Organization,"Builds a model to weight the relative importance of top management support, external expertise in small businesses",Nominal, Technology as absent,IS theory on top management support & external expertise,Organization,343,79,46,108,0.43,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,No,,,"Incremental theoretical contribution, methodologically sound",,17,,4,2009,,,,,,,,2,,4,4,3,4,9,3,2,4,8,9,5,9,14,9,11,8,4,25,11,15,11,14,,,,,26,54,1996,Information Systems Research,7,2,,248,267,,253,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030488640&partnerID=40&md5=ed6229129a3e3be862ce9a2293c9b749,Article,Scopus,2-s2.0-0030488640
2006,Survey,ISR,"Hong, S.-J., and Tam, K. Y. 2006. –Understanding the Adoption of Multipurpose Information Appliances: The Case of Mobile Data Services,” Information Systems Research (17:2), pp. 162_179.",1,1,Individual,"Develops a framework for the adoption of multipurpose information artifacts. The DVs are perception of technology, demographics, user psychographics, and social influence, the DV is behavioral intention",Proxy,Technology as perception,"TAM, innovation diffusion",Individual,201,108,35,108,0.32,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Application of TAM to new context,,7,,1,2012,,,,,,,,,,,,,,,,,,2,5,11,15,20,17,24,14,5,9,26,29,,,,,,,31,38,2006,Information Systems Research,17,2,,162,179,,249,10.1016/j.jhazmat.2005.10.004,http://www.scopus.com/inward/record.url?eid=2-s2.0-33745046300&partnerID=40&md5=97145290b23f3f9692092b467f7eff39,Article,Scopus,2-s2.0-33745046300
2006,Survey,MISQ,"Srite, M., and Karahanna, E. 2006. –The role of espoused national cultural values in technology acceptance,” MIS Quarterly (30:3), pp. 679_704.",1,1,Individual,"Extends TAM by adding espoused national culture constructs to the model as moderators (i.e. espoused masculinity/femininity, espoused individualism/collectivism, espoused power distance, and espoused uncertainty avoidence).",Proxy,Technology as Perception,"TAM, Culture",Individual,220,105,43,105,0.41,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,Instantiates multiple new culture constructs onto TAM,-,-,"Adds culture moderators to TAM, hence just multiple instantiation",,7,,2,2011,,,,,,,,,,,,,,,,,,1,8,21,8,16,19,17,15,8,11,15,18,,,,,,,23,29,2006,MIS Quarterly: Management Information Systems,30,3,,679,704,,304,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33846076044&partnerID=40&md5=b0e5206b5d42f124cba43b34440bb4e4,Article,Scopus,2-s2.0-33846076044
1999,Qualitative,MISQ,"Broadbent, M., Weill, P., and Clair, D. St. 1999. –The Implications of Information Technology Infrastructure for Business Process Redesign,” MIS Quarterly (23:2), pp. 159.",1,-,Organization,Examines the links between IT infrastructures and business process redesign,Ensemble,Technology as structure,Business Process Redesign theories,Organization,515,78,58,101,0.57,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,No constructs modified or introduced - only the relationships between well known constructs,,14,,5,2008,,,,,,,,,,,4,3,2,8,6,7,7,5,11,9,11,12,4,9,3,6,6,1,1,1,1,,,,,8,8,1999,MIS Quarterly: Management Information Systems,23,2,,159,182,,269,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000050762&partnerID=40&md5=1b6fbb08bcd8c2f7a1902bf54bc050b7,Article,Scopus,2-s2.0-0000050762
2000,Survey,MISQ,"Moore, J. 2000. –One road to turnover: An examination of work exhaustion in technology professionals,” MIS Quarterly (24:1), pp. 141_168.",1,,Individual,"""The concept of work exhaustion (or job burnout) from the management and psychology research literature is examined in the context of technology professionals Data were collected from 270 IT professionals and managers in various industries across the United States. Through structural equation modeling, work exhaustion was shown to partially mediate the effects of workplace factors on turnover intention.""",Nominal,Technology as absent,Work exhaustion,Individual,,92,32,98,0.33,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,-,-,-,-,Instantiates borrowed theory in a tech context,,13,,3,2010,,,,,,,,,,,,1,,2,2,8,5,8,10,5,12,11,15,7,11,5,9,,,,,,,,,5,9,2000,MIS Quarterly: Management Information Systems,24,1,,141,168,,260,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000094602&partnerID=40&md5=d52af87cb379f5709078ea4225f3e56c,Article,Scopus,2-s2.0-0000094602
2006,Survey,ISR,"Dinev, T., & Hart, P. (2006). An Extended Privacy Calculus Model for E-Commerce Transactions. Information Systems Research, 17(1), 61_80. doi:10.1287/isre.1060.0080",1,1,Individual,"A model to calculate the trade-off between privacy and disclosure in online transactions is developed. The IVs Personal Internet  and Perceived internet privacy risk, mediated by internet privacy concerns and internet trust are theorized to lead to willingness to provide personal information to transact on the internet (DV)",Nominal,Technology as absent,TRA and TPB models,Individual,208,90,43,90,0.48,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Application of TRA/TPB to new context,,7,,2,2011,,,,,,,,,,,,,,,,,1,6,6,8,11,17,13,20,8,7,15,9,15,,,,,,,16,30,2006,Information Systems Research,17,1,,61,80,,306,10.1287/isre.1060.0080,http://www.scopus.com/inward/record.url?eid=2-s2.0-33645133251&partnerID=40&md5=1ed150a0c7d1a2c2afaf692f7727881a,Article,Scopus,2-s2.0-33645133251
2004,Quantitative Panel Data,ISR,"Jones, Q., Ravid, G., and Rafaeli, S. 2004. –Information Overload and the Message Dynamics of Online Interaction Spaces: A Theoretical Model and Empirical Exploration,” Information Systems Research (15:2), pp. 194_210.",1,2,Group,"Focuses on communication patterns in newsgroups. IV's: interactive communications, simplicity of messages, and group complexity DV's: complexity of response messages, active participation",Tool,Technology as changing social relations,"Critical Mass Theory, Information Overload Theory",Group,239,90,35,90,0.39,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Examines a form of communication only possible because of certain IT artifacts, but does not delve deeply into how the IT artifact enables these communications",,9,,3,2010,,,,,,,,,,,,,,,,2,4,7,12,10,16,9,8,16,6,7,12,5,10,10,16,,,,,22,38,2004,Information Systems Research,15,2,,194,211,,217,10.1287/isre.1040.0023,http://www.scopus.com/inward/record.url?eid=2-s2.0-4043105531&partnerID=40&md5=3b8c1ac67d1de1f825b3073f4d2c5b18,Review,Scopus,2-s2.0-4043105531
1998,Qualitative,MISQ,"Goodman, P., and Darr, E. 1998. –Computer-Aided Systems and Communities: Mechanisms for Organizational Learning in Distributed Environments,” MIS Quarterly (December).",1,-,Organization,"Explains the links between computer-aided systems, organizational learning process, and organizational effectiveness, moderated by organizational context",Ensemble,Technology as embedded system,Computer-aided systems (CAS) & organizational learning,Organization,358,71,37,84,0.44,Yes,"Secondary (CAS), Primary (org learning)",Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Connects previously unconnected constructs, but does not modify them",,15,,5,2008,,,,,,,,,,,2,2,2,5,2,10,6,6,8,8,7,8,10,3,5,8,13,2,3,,,,,,,10,16,1998,MIS Quarterly: Management Information Systems,22,4,,417,440,,181,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001674108&partnerID=40&md5=c6ca3ef8b5a753b1c79520cfc1336f4a,Article,Scopus,2-s2.0-0001674108
2004,Qualitative,ISR,"Schultze, U., and Orlikowski, W. J. 2004. –A Practice Perspective on Technology-Mediated Network Relations: The Use of Internet-Based Self-Serve Technologies,” Information Systems Research (15:1), pp. 87_106.",1,,Organization,"""In this paper, we explore the implications of using IT within interfirm relations through an analysis of cus-tomersê and sales representativesê (reps) work activities and interpersonal relationships. We apply a practice perspective that highlights how macrolevel phenomena such as interfirm relations are created and recreated through the microlevel actions taken by firm members.""",Ensemble,Technology as changing social relations,Practice theory,Organization,,80,45,80,0.56,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,Simply instantiates practice theory in a new technology context,,9,,2,2011,,,,,,,,,,,,,,,,2,5,6,11,8,6,13,11,8,10,9,13,21,29,,,,,,,30,42,2004,Information Systems Research,15,1,,87,106+108,,174,,http://www.scopus.com/inward/record.url?eid=2-s2.0-2442718978&partnerID=40&md5=18afa2bebdcda73ac5da7c4ad4b340f3,Review,Scopus,2-s2.0-2442718978
1999,Experiment,ISR,"Todd, P., and Benbasat, I. 1999. –Evaluating the Impact of DSS, Cognitive Effort, and Incentives on Strategy Selection,” Information Systems Research (10:4), pp. 356_374.",1,,Individual,"""Working from notions of restrictiveness and decisional guid- ance (Silver 1990) supplemented by the cost-benefit framework of cognition, we explain how DSS capabilities influence decision behavior and performance through the manipulation of effort.""",Tool,Technology as performance,Decision Support Systems,Organization,,67,41,80,0.51,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,Experimental testing of theory-grounded hypos,,14,,5,2008,,,,,,,,,,,,4,1,5,3,3,13,8,7,7,6,6,5,7,5,18,21,31,54,,,,,,,49,75,1999,Information Systems Research,10,4,,356,374,,159,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033274708&partnerID=40&md5=9dcc0fe459d8832e6532c678e035121a,Article,Scopus,2-s2.0-0033274708
2001,Econometrics,ISR,"Subramani, M. 2001. –The impact of e-commerce announcements on the market value of firms,” Information Systems Research (12:2), pp. 135_154.",1,1,Market,"Examines how e-Commerce announcements (IV) impact the market value of firms (DV), using event study methodology and stock market data",Nominal,Technology as strategy,Resource-based view,Organization,271,67,35,79,0.44,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Technology is abstracted away to a specific market event (i.e. an announcement) and there is thus very little IT-specific theorizing or new theory development,,12,,5,2008,,,,,,,,,,,,,1,3,8,3,6,15,4,5,5,9,11,8,1,3,12,,,,,,,,,3,12,2001,Information Systems Research,12,2,,135,154,,168,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035595781&partnerID=40&md5=f4771ae25d36ece9c4bf5504b16f8dec,Article,Scopus,2-s2.0-0035595781
2003,Survey,MISQ,"Susarla, A., Barua, A., and Whinston, A. 2003. –Understanding the service component of application service provision: empirical analysis of satisfaction with ASP services,” MIS Quarterly (27:1), pp. 91_123.",1,,Individual,"""In this paper, we draw upon the consumer satisfaction paradigm widely employed in marketing literature to analyze post-usage satisfaction with ASP services. In this paper, we draw upon the consumer satisfaction paradigm widely employed in marketing literature to analyze post-usage satisfaction with ASP services.""",Nominal,Technology as context,Consumer satisfaction,Individual,,72,31,74,0.42,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,-,-,-,-,Instantiates consumer satisfaction theory in application service provider context,,10,,3,2010,,,,,,,,,,,,,,,2,6,3,6,10,6,4,6,6,14,11,3,8,14,18,30,40,,,,,47,66,2003,MIS Quarterly: Management Information Systems,27,1,,91,123,,183,,http://www.scopus.com/inward/record.url?eid=2-s2.0-1142280659&partnerID=40&md5=5101d6dc9336bf8f0b58a2c08efe6089,Article,Scopus,2-s2.0-1142280659
1999,Experiment,ISR,"Pinsonneault, A., Barki, H., Gallupe, B., and Hoppen, N. 1999. –Electronic brainstorming: The illusion of Productivity,” Information Systems Research (10:2), pp. 110_134.",1,2,Group,Compares brainstorming and electronic brainstorming,Tool,Technology as performance,Brainstorming literature,Group,167,46,18,65,0.28,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,None,-,-,-,Pure brainstorming research with the IT artifact more or less absent (but still used as a performance moderator),,14,,6,2007,,,,,,,,,,2,2,5,,6,4,6,5,8,2,3,4,4,2,8,4,9,22,9,16,12,12,2,4,,,32,54,1999,Information Systems Research,10,2,,110,133,,121,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033441572&partnerID=40&md5=9fed21e99bbd918c71d55958cbefc256,Article,Scopus,2-s2.0-0033441572
2006,Survey,MISQ,"Banker, R., Bardhan, I., Chang, H., and Lin, S. 2006. –Plant Information Systems, Manufacturing Capabilities, and Plant Performance,” MIS Quarterly (30:2), pp. 315_337.",1,2,Organization,"In this study, the authors develop a conceptual model based on the theory of dynamic capabilities to study how manufacturing plants realize improvements in plant performance by leveraging plant information systems to enable implementation of advanced manufacturing capabilities.  Research Model: Plant performance (product quality, product time to market, and plant efficiency) is influenced by Plant Information System Type (resource planning, operations management, and EDI applications), mediated by manufacturing capabilities (just-in-time manufacturing, customer and supplier participation programs)",Tool,"Technology as productivity, performance, enhancer",Dynamic Capabilities,"Capability, Firm",121,62,28,62,0.45,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Uses the logic of dynamic capabilities to study the complementarities between IT and organizational capabilities.,,7,,1,2012,,,,,,,,,,,,,,,,,1,3,5,2,9,5,15,18,4,41,42,9,14,1,1,1,1,,,52,58,2006,MIS Quarterly: Management Information Systems,30,2,,315,337,,126,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33750323023&partnerID=40&md5=55b4df255597c8de9eb8053158001b04,Article,Scopus,2-s2.0-33750323023
2006,Survey,ISR,"Nicolaou, A. I., and McKnight, D. H. 2006. –Perceived Information Quality in Data Exchanges: Effects on Risk, Trust, and Intention to Use,” Information Systems Research (17:4), pp. 332_351.",1,,Organization,"""An empirical test of the model demonstrated that PIQ (Perceived Information Quality) predicts trusting beliefs and perceived risk, which mediate the effects of PIQ on intention to use the exchange.""",Proxy,Technology as Perception,Interorganizational systems,Organization,,60,25,62,0.4,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,"Relates PIQ to new variables, but does not modify any constructs",,7,,1,2012,,,,,,,,,,,,,,,,,,,,3,9,12,10,14,12,7,8,7,16,,,,,,,14,24,2006,Information Systems Research,17,4,,332,351,,148,10.1287/isre.1060.0103,http://www.scopus.com/inward/record.url?eid=2-s2.0-33847057267&partnerID=40&md5=784903de26918bce2b54710645d3cade,Article,Scopus,2-s2.0-33847057267
1995,Econometrics,MISQ,"Todd, B. P. A., Mckeen, J. D., and Gallupe, R. B. 1995. –The Evolution of IS Job Skills: A Content Analysis of IS Job Advertisements From 1970 to 1990,” MIS Quarterly (March), pp. 1_28.",0,,Market,"""Changes m the knowledge and skill requirements of information systems (IS) positions were ex- amined by analyzing the content of advertise- ments for IS professionals placed in four ma1or newspapers over the 20-year period 1970-1990.""",Nominal,Technology as absent,IS Job skills,Market,,41,23,61,0.38,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,"No new constructs or relationships, but novel empirical patterns identified",,18,,6,2007,,,,,,,2,1,2,,4,5,1,3,2,7,1,5,3,6,4,2,3,7,3,15,21,7,11,8,12,,,,,30,44,1995,MIS Quarterly: Management Information Systems,19,1,,1,23,,170,,http://www.scopus.com/inward/record.url?eid=2-s2.0-53349172574&partnerID=40&md5=9893a33041be3a3c3567719323c80677,Article,Scopus,2-s2.0-53349172574
1998,Survey,MISQ,"Banerjee, D., Cronan, T., and Jones, T. 1998. –Modeling IT Ethics: A Study in Situational Ethics,” MIS Quarterly (March), pp. 31_61.",1,-,Individual,Builds a model for ethical behavior of IS personnel,Nominal,Technology as absent,Ethical behavior+TPB/TRA,Individual,234,46,22,60,0.37,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Simply superimposes multiple theories across each other using instantiation. No IS -specific theorizing,,15,,5,2008,,,,,,,,,2,,1,1,,5,5,,5,6,10,9,2,3,5,5,1,3,3,5,12,1,1,,,,,9,16,1998,MIS Quarterly: Management Information Systems,22,1,,31,54,,126,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0002520483&partnerID=40&md5=d1ea7e876bf38fcf2edb0cb54d29c4f9,Article,Scopus,2-s2.0-0002520483
1998,Qualitative,MISQ,"Kumar, K., Dissel, H. Van, and Bielli, P. 1998. –The Merchant of Prato-Revisited: Toward a Third Rationality of Information Systems,” MIS Quarterly (June), pp. 199_227.",0,-,Organization,"Compares the technical-economic, socio-political, and interactionist-collaboration perspectives on IS",Tool,"Technology as productivity, performance, enhancer",Broad IS perspectives,Organization,323,41,37,59,0.63,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,Builds a new perspective on IS,-,-,Almost a theoretical article more than a qualitative. Instantiates multiple theories,,15,,6,2007,,,,,,,,,,,1,3,4,5,5,7,3,6,7,1,3,6,3,4,1,10,18,3,3,1,2,,,,,14,23,1998,MIS Quarterly: Management Information Systems,22,2,,199,225,,136,,http://www.scopus.com/inward/record.url?eid=2-s2.0-9744229248&partnerID=40&md5=6e7d9c635585e419cd89571aed23cfad,Article,Scopus,2-s2.0-9744229248
1998,Qualitative,MISQ,"Carlson, P., and Davis, G. 1998. –An investigation of media selection among directors and managers: From• selfê to• otherê orientation,” MIS Quarterly (September), pp. 335_363.",1,-,Individual,"Shows how the richness of media chosen is dependent on ""self"" or ""other""-orientation",Proxy,Technology as perception,media richness/social interaction theories,Individual,224,46,23,58,0.4,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Shows new relationships between well-known variables from other theories (borrowed),,15,,5,2008,,,,,,,,,,,4,3,2,,3,5,4,5,4,5,7,5,3,5,3,1,1,11,15,,,,,,,12,16,1998,MIS Quarterly: Management Information Systems,22,3,,335,358,,113,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001152277&partnerID=40&md5=fdd80b754076f94ac94a46fc3132f573,Article,Scopus,2-s2.0-0001152277
2001,Experiment,ISR,"Bodart, F., and Patel, A. 2001. –Should optional properties be used in conceptual modelling? A theory and three empirical tests,” Information Systems Research (12:December), pp. 384_405.",1,,Individual,"In this paper, we first present a theory th<it led us lo predict that optional attributes and relationships 5hould be used in conceptucll schema diagrams only when user's of the diagrams require surface-level understanding of the domain being represented by the diagrams.",Nominal,Technology as context,Conceptual modelling,Individual,,47,29,50,0.58,Yes,Secondary,Exploitation,-,Exploitation,Exploitation,Instantiation,None,-,-,-,Does not develop any new theory - simply tests two alternative claims to support one of them.,,12,,4,2009,,,,,,,,,,,,,1,,2,7,7,4,2,6,5,8,5,3,,4,4,1,2,1,1,12,19,,,18,26,2001,Information Systems Research,12,4,,384,405,,163,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035620341&partnerID=40&md5=87c47bd88de588e76008f3e185d028f6,Article,Scopus,2-s2.0-0035620341
1996,Qualitative,MISQ,"Newman, M., and Sabherwal, R. 1996. –Determinants of commitment to information systems development: a longitudinal investigation,” MIS Quarterly (March).",1,,Organization,Tries to explain commitment to IS development through various OB-based determinants,Nominal,Technology as absent,Organizational Behavior,Group,,22,31,48,0.65,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,,,,Simply applies OB-based antecedents to predict commitment to IS development,,17,,10,2003,,,,,,,1,1,,1,5,4,5,9,,1,3,2,2,3,2,2,2,1,4,11,20,9,23,,,,,,,20,43,1996,MIS Quarterly: Management Information Systems,20,1,,23,52,,127,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001879712&partnerID=40&md5=680fa76e13945a720c5058e2a0de07f3,Article,Scopus,2-s2.0-0001879712
